id,Date,Home,Away,Winner,Score_Home,Score_Away,FGM_Home,FGA_Home,FGM_Away,FGA_Away,3PM_Home,3PA_Home,3PM_Away,3PA_Away,FTM_Home,FTA_Home,FTM_Away,FTA_Away,REB_Home,REB_Away,OR_Home,OR_Away,DR_Home,DR_Away,ASS_Home,ASS_Away,ST_Home,ST_Away,BL_Home,BL_Away,TO_Home,TO_Away,POT_Home,POT_Away,FBP_Home,FBP_Away,PIP_Home,PIP_Away,PF_Home,PF_Away,TF_Home,TF_Away,FF_Home,FF_Away
400277721,2012-10-30,Cavaliers,Wizards,Cavaliers,94,84,36,79,32,90,7,20,8,32,15,22,12,20,67,49,18,18,36,21,22,26,7,11,5,10,21,13,20,13,6,13,42,32,21,19,1,1,0,0,
400277722,2012-10-30,Heat,Celtics,Heat,120,107,43,79,39,75,8,16,6,13,26,32,23,28,40,43,5,7,31,34,25,24,8,4,5,2,8,16,19,6,12,27,46,42,20,23,1,2,0,1,
400277723,2012-10-30,Lakers,Mavericks,Mavericks,91,99,38,77,40,85,3,13,5,15,12,31,14,18,57,50,15,9,31,31,24,22,6,9,5,5,14,12,17,17,7,13,56,46,21,25,0,0,1,0,
400277724,2012-10-31,Raptors,Pacers,Pacers,88,90,33,91,37,78,6,17,5,11,16,19,11,16,54,53,15,9,27,37,18,22,12,3,8,10,10,19,17,4,7,8,34,44,18,16,1,0,0,0,
400277725,2012-10-31,76ers,Nuggets,76ers,84,75,30,85,33,88,7,25,4,18,17,21,5,11,56,64,14,16,33,38,18,19,13,9,11,5,16,22,24,16,21,18,26,48,14,22,0,0,0,0,
400277726,2012-10-31,Pistons,Rockets,Rockets,96,105,35,79,39,79,6,16,10,27,20,26,17,23,43,53,10,12,26,33,21,28,12,12,4,3,16,20,17,17,12,13,42,50,15,24,1,1,0,0,
400277727,2012-10-31,Bulls,Kings,Bulls,93,87,33,79,34,84,2,9,6,17,25,33,13,16,56,51,14,11,32,29,21,14,8,10,10,5,18,21,25,13,14,14,42,44,19,29,1,2,0,0,
400277728,2012-10-31,Pelicans,Spurs,Spurs,95,99,35,80,38,80,4,17,6,20,21,23,17,26,47,51,9,10,34,33,26,22,7,9,6,8,15,16,15,13,19,14,46,52,20,21,2,0,0,0,
400277729,2012-10-31,Jazz,Mavericks,Jazz,113,94,38,89,32,85,6,14,11,22,31,42,19,26,72,50,20,8,41,32,24,20,10,8,8,5,14,16,23,22,27,12,44,30,25,32,2,3,0,0,
400277730,2012-10-31,Suns,Warriors,Warriors,85,87,32,80,33,86,4,21,5,17,17,22,16,23,55,58,11,17,33,32,16,19,10,9,12,3,18,18,11,19,11,11,40,42,23,20,3,2,0,0,
