id,Date,Home,Away,Winner,Score_Home,Score_Away,1st_downs_Home,1st_downs_Away,Passing_1st_downs_Home,Passing_1st_downs_Away,Rushing_1st_downs_Home,Rushing_1st_downs_Away,Penaties_1st_downs_Home,Penaties_1st_downs_Away,3rd_down_made_Home,3rd_down_attempted_Home,3rd_down_made,3rd_down_attempted_Away,4th_down_made_Home,4th_down_attempted_Home,4th_down_made,4th_down_attempted_Away,Total_plays_Home,Total_plays_Away,Total_yards_Home,Total_yards_Away,Total_drives_Home,Total_drives_Away,Passing_yards_Home,Passing_yards_Away,Pass_comp_Home,Pass_thrown_Home,Pass_comp_Away,Pass_thrown_Away,Interceptions,Interceptions_Away,Sacks_Home,Sack_Yards_Lost_Home,Sacks_Away,Sack_Yards_Lost_Away,Rushing_yards_Home,Rushing_yards_Away,Rushing_attempts_Home,Rushing_attempts_Away,Red_zone_made_Home,Red_zone_attempted_Home,Red_zone_made_Away,Red_zone_attempted_Away,Penalties_Home,Penalties_Yards_Lost_Home,Penalties_Away,Penalties_Yards_Lost_Away,Turnovers_Home,Turnovers_Away,Fumbles_lost_Home,Fumbles_lost_Away,Def_Special_TDs_Home,Def_Special_TDs_Away,TOP_seconds_Home,TOP_seconds_Away,
250908017,2005-09-08,Patriots,Raiders,Patriots,30,20,22,19,13,12,5,4,4,3,6,16,4,13,0,1,0,0,69,63,379,338,14,14,306,246,24,38,18,39,0,0,0,0,2,19,73,92,31,22,0,5,0,2,7,46,16,149,0,1,0,1,0,0,1940,1660,
250911002,2005-09-11,Bills,Texans,Bills,22,7,20,12,10,4,7,6,3,2,3,14,3,10,1,1,1,1,65,49,316,120,13,12,164,25,17,28,9,21,0,3,1,6,5,45,152,95,36,23,0,4,0,1,10,71,6,38,0,5,0,2,0,0,2295,1305,
250911005,2005-09-11,Browns,Bengals,Bengals,13,27,16,26,14,15,2,9,0,2,5,13,2,8,0,3,0,1,61,68,373,420,12,11,278,272,26,43,26,34,2,1,0,0,2,8,95,148,18,32,0,3,0,5,7,56,5,40,3,2,1,1,0,0,1547,2053,
250911012,2005-09-11,Chiefs,Jets,Chiefs,27,7,23,19,10,19,10,0,3,0,4,10,8,16,0,0,1,3,61,70,389,390,12,10,191,333,15,26,27,44,1,1,1,9,3,19,198,57,34,23,0,5,0,4,4,26,8,80,1,3,0,2,0,0,1711,1889,
250911015,2005-09-11,Dolphins,Broncos,Dolphins,34,10,21,19,14,15,5,3,2,1,8,15,1,12,0,2,1,3,69,69,426,312,12,14,275,242,24,36,22,48,1,2,0,0,1,9,151,70,33,20,0,4,0,4,11,69,7,73,3,3,2,1,2,0,1938,1662,
250911016,2005-09-11,Vikings,Buccaneers,Buccaneers,13,24,15,12,9,8,2,4,4,0,5,11,8,17,0,0,0,0,51,62,248,345,11,14,215,199,22,33,18,29,3,2,3,18,2,14,33,146,15,31,0,2,0,3,9,70,13,99,5,2,2,0,2,0,1766,1834,
250911023,2005-09-11,Steelers,Titans,Steelers,34,7,18,16,8,13,9,3,1,0,5,10,3,8,0,0,0,0,52,53,424,303,9,10,218,206,9,11,18,27,0,2,0,0,3,13,206,97,41,23,0,4,0,3,3,27,7,49,0,4,0,2,0,0,1850,1750,
250911028,2005-09-11,Redskins,Bears,Redskins,9,7,18,11,10,9,6,2,2,0,6,16,6,13,1,1,0,0,68,49,323,166,10,10,159,125,14,25,15,28,1,1,3,16,3,16,164,41,40,18,0,3,0,1,5,45,8,86,3,2,2,1,0,0,2055,1545,
250911029,2005-09-11,Panthers,Saints,Saints,20,23,20,21,10,12,5,6,5,3,8,13,8,13,0,0,0,0,57,58,350,291,7,8,209,190,19,31,18,24,2,0,1,3,1,2,141,101,25,33,0,3,0,4,11,84,9,74,4,2,2,2,0,0,1644,1956,
250911030,2005-09-11,Jaguars,Seahawks,Jaguars,26,14,18,20,13,13,4,5,1,2,4,13,3,9,0,0,0,0,66,58,362,322,13,11,243,225,18,32,21,36,0,2,3,15,3,21,119,97,31,19,0,3,0,1,6,31,5,29,0,5,0,3,0,0,2051,1549,
